segment,covariate,lineage,celltype,analysis_type,n_categories_tested,categories_tested,n_samples,n_donors,n_datasets,omega_squared,kruskal_p_value,highest_median_pct_category,highest_median_within_lineage_pct,lowest_median_pct_category,lowest_median_within_lineage_pct,n_datasets_with_multiple_categories,n_datasets_with_two_categories_each_n_ge_5,within_study_contrast_supported,spearman_age_rho,spearman_age_p_value,kruskal_fdr_within_segment_covariate,spearman_age_fdr_within_segment_covariate
duodenum,gene_annotation_version,epithelial,EEC S,descriptive,2,v104 | v98,6,5,3,0.0,,v104,0.0,v104,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Enterocyte Progenitors,descriptive,2,v104 | v98,6,5,3,0.0,,v104,1.6666666666666667,v98,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Enteroendocrine Cells (EEC),descriptive,2,v104 | v98,6,5,3,0.0,,v104,0.0,v104,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Epithelial,descriptive,2,v104 | v98,6,5,3,0.0,,v104,0.0,v104,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Foveolar Cells,descriptive,2,v104 | v98,6,5,3,0.0,,v104,0.0,v104,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Goblet Cells,descriptive,2,v104 | v98,6,5,3,0.0,,v104,0.0,v104,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Intestinal Stem Cells (ISC),descriptive,2,v104 | v98,6,5,3,0.25532256892918115,,v104,5.833333333333333,v98,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Lower Crypt Colonocytes,descriptive,2,v104 | v98,6,5,3,0.0,,v104,0.0,v104,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Lower Villus Enterocytes,descriptive,2,v104 | v98,6,5,3,0.0,,v104,23.333333333333332,v98,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Mature Goblet Cells,descriptive,2,v104 | v98,6,5,3,0.0,,v104,0.0,v104,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Microfold Cells (M Cells),descriptive,2,v104 | v98,6,5,3,0.0,,v104,0.0,v104,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Mid Crypt Colonocytes,descriptive,2,v104 | v98,6,5,3,0.0,,v104,0.0,v104,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Mid Villus Enterocytes,descriptive,2,v104 | v98,6,5,3,0.0,,v104,7.5,v98,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Paneth Cells,descriptive,2,v104 | v98,6,5,3,0.0,,v104,50.0,v98,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Secretory Progenitors,descriptive,2,v104 | v98,6,5,3,0.0,,v104,0.0,v104,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Transiently Amplifying Cells (TA),descriptive,2,v104 | v98,6,5,3,0.059257419267244774,,v104,4.166666666666666,v98,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Tuft Cells,descriptive,2,v104 | v98,6,5,3,0.25477954228040817,,v104,1.6666666666666667,v98,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Tuft Progenitors,descriptive,2,v104 | v98,6,5,3,0.09788670276565148,,v98,50.0,v104,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Villus Tip Enterocytes,descriptive,2,v104 | v98,6,5,3,0.17483738427429654,,v104,0.8333333333333334,v98,0.0,0,0,False,,,,
jejunum,radial_tissue_term,lymphoid,CD4 Memory,descriptive,2,EPI | LP,5,5,2,0.0,,LP,14.814814814814813,EPI,3.4433962264150946,1,0,False,,,,
