segment,covariate,category,lineage,celltype,n_samples,n_donors,n_datasets,total_cells,n_samples_present,mean_cells_per_sample,median_cells_per_sample,mean_clr,median_clr,q1_clr,q3_clr,mean_within_lineage_pct,median_within_lineage_pct,q1_within_lineage_pct,q3_within_lineage_pct,present_sample_fraction
ileum,radial_tissue_term,EPI,myeloid,pDC,2,2,1,0.0,0,0.0,0.0,-0.08462656878444452,-0.08462656878444452,-0.09260821915578799,-0.07664491841310106,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI_LP,epithelial,BEST4 Colonocytes,17,17,4,5.0,3,0.29411764705882354,0.0,0.05044528417487274,-0.03923615316671736,-0.22286699447038671,-0.039236153166716914,12.647058823529411,0.0,0.0,0.0,0.17647058823529413
ileum,radial_tissue_term,EPI_LP,epithelial,BEST4 Enterocytes,17,17,4,0.0,0,0.0,0.0,-0.19326852325992336,-0.057479925444075874,-0.23266831038830516,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI_LP,epithelial,Brunners Gland Cells,17,17,4,0.0,0,0.0,0.0,-0.19326852325992336,-0.057479925444075874,-0.23266831038830516,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI_LP,epithelial,Colonocyte Progenitors,17,17,4,0.0,0,0.0,0.0,-0.19326852325992336,-0.057479925444075874,-0.23266831038830516,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI_LP,epithelial,Crypt Top Colonocytes,17,17,4,1.0,1,0.058823529411764705,0.0,-0.12864427098532866,-0.03923615316671736,-0.23266831038830516,-0.039236153166716914,0.4901960784313725,0.0,0.0,0.0,0.058823529411764705
ileum,radial_tissue_term,EPI_LP,epithelial,EEC Enterochromaffin (EC),17,17,4,0.0,0,0.0,0.0,-0.19326852325992336,-0.057479925444075874,-0.23266831038830516,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI_LP,epithelial,EEC L,17,17,4,0.0,0,0.0,0.0,-0.19326852325992336,-0.057479925444075874,-0.23266831038830516,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI_LP,epithelial,EEC N,17,17,4,1.0,1,0.058823529411764705,0.0,-0.12864427098532866,-0.03923615316671736,-0.22286699447038671,-0.039236153166716914,0.21008403361344535,0.0,0.0,0.0,0.058823529411764705
ileum,radial_tissue_term,EPI_LP,epithelial,EEC Progenitors,17,17,4,0.0,0,0.0,0.0,-0.19326852325992336,-0.057479925444075874,-0.23266831038830516,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI_LP,epithelial,EEC S,17,17,4,0.0,0,0.0,0.0,-0.19326852325992336,-0.057479925444075874,-0.23266831038830516,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI_LP,epithelial,Enterocyte Progenitors,17,17,4,13.0,6,0.7647058823529411,0.0,0.35079501793373036,-0.039236153166716914,-0.039236153166716914,0.8757452941977228,5.867290312351355,0.0,0.0,6.666666666666667,0.35294117647058826
ileum,radial_tissue_term,EPI_LP,epithelial,Enteroendocrine Cells (EEC),17,17,4,0.0,0,0.0,0.0,-0.19326852325992336,-0.057479925444075874,-0.23266831038830516,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI_LP,epithelial,Epithelial,17,17,4,1.0,1,0.058823529411764705,0.0,-0.12864427098532863,-0.057479925444075874,-0.23266831038830516,-0.039236153166716914,5.882352941176471,0.0,0.0,0.0,0.058823529411764705
ileum,radial_tissue_term,EPI_LP,epithelial,Foveolar Cells,17,17,4,0.0,0,0.0,0.0,-0.19326852325992336,-0.057479925444075874,-0.23266831038830516,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI_LP,epithelial,Goblet Cells,17,17,4,21.0,5,1.2352941176470589,0.0,0.3690394254810151,-0.039236153166716914,-0.03923615316671736,0.5759399485354324,8.431372549019608,0.0,0.0,5.0,0.29411764705882354
ileum,radial_tissue_term,EPI_LP,epithelial,Intestinal Stem Cells (ISC),17,17,4,3.0,1,0.17647058823529413,0.0,-0.07880322037431667,-0.03923615316671736,-0.22286699447038671,-0.039236153166716914,0.8823529411764706,0.0,0.0,0.0,0.058823529411764705
ileum,radial_tissue_term,EPI_LP,epithelial,Lower Crypt Colonocytes,17,17,4,0.0,0,0.0,0.0,-0.19326852325992336,-0.057479925444075874,-0.23266831038830516,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI_LP,epithelial,Lower Villus Enterocytes,17,17,4,19.0,6,1.1176470588235294,0.0,0.45629158001673276,-0.039236153166716914,-0.039236153166716914,0.9968042298299831,5.54410443422652,0.0,0.0,8.333333333333332,0.35294117647058826
ileum,radial_tissue_term,EPI_LP,epithelial,Mature Goblet Cells,17,17,4,17.0,4,1.0,0.0,0.28028350339107794,-0.039236153166716914,-0.057479925444075874,-0.039236153166716914,4.7899159663865545,0.0,0.0,0.0,0.23529411764705882
ileum,radial_tissue_term,EPI_LP,epithelial,Microfold Cells (M Cells),17,17,4,4.0,3,0.23529411764705882,0.0,0.030652799667742554,-0.03923615316671736,-0.23266831038830516,-0.039236153166716914,17.647058823529413,0.0,0.0,0.0,0.17647058823529413
ileum,radial_tissue_term,EPI_LP,epithelial,Mid Crypt Colonocytes,17,17,4,0.0,0,0.0,0.0,-0.19326852325992336,-0.057479925444075874,-0.23266831038830516,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
