annotation_group,annotation_column,annotation_level,level_order,hgca_celltype_v1,n_samples,mean_clr,row_z
Tissue,tissue_level_1,jejunum,1,CD4 Memory,45,4.5631363399935125,1.9976798621493674
Tissue,tissue_level_1,jejunum,1,CD8 Effector Memory,45,2.871966433873677,2.0523114071411923
Tissue,tissue_level_1,jejunum,1,CD8 Circulating Effector Memory,45,2.6961497691630094,0.7074066137975875
Tissue,tissue_level_1,jejunum,1,CD8 Memory Exhausted,45,0.014278480565023337,1.7387336233211805
Tissue,tissue_level_1,jejunum,1,CD8 TRM,45,5.769800293100241,2.060507915851436
Tissue,tissue_level_1,jejunum,1,CD8 IEL,45,4.070545880984697,1.7687216665572225
Tissue,tissue_level_1,jejunum,1,CD8 Naive,45,-0.295479943538069,-0.5188998947783292
Tissue,tissue_level_1,jejunum,1,Gamma Delta T Cells,45,0.051803620769976244,0.43459497492309507
Tissue,tissue_level_1,jejunum,1,MAIT Cells,45,0.40736744551908993,0.25700603016589846
Tissue,tissue_level_1,jejunum,1,NKT Cells,45,3.5185014600094413,2.0583832704475284
Tissue,tissue_level_1,jejunum,1,NK Cells,45,2.8894070009651722,1.7821397355881021
Tissue,tissue_level_1,jejunum,1,ILC3,45,1.510533025521555,1.0050911990622053
Tissue,tissue_level_1,jejunum,1,Classical Monocytes,45,0.5197841117844075,1.2827724611082028
Tissue,tissue_level_1,jejunum,1,Nonclassical Monocytes,45,-0.5399747223640431,0.7147174508308003
Tissue,tissue_level_1,jejunum,1,Cycling Macrophages,45,-0.15184488298915874,1.1004261850196648
Tissue,tissue_level_1,jejunum,1,Homeostatic Macrophages,45,0.6704784752735533,0.7637739498444843
Tissue,tissue_level_1,jejunum,1,M0 Macrophages,45,1.5580545938145318,1.3906489784866285
Tissue,tissue_level_1,jejunum,1,Perivascular Resident Macrophages,45,-0.3603823847577271,0.27438078956949
Tissue,tissue_level_1,jejunum,1,Follicle Associated Resident Macrophages,45,-0.7850784194511996,-1.0637042875826959
Tissue,tissue_level_1,jejunum,1,migDC,45,-0.7850784194511996,-0.7806339099867161
Tissue,tissue_level_1,jejunum,1,cDC1,45,-0.6458917913936079,-0.964979269428551
Tissue,tissue_level_1,jejunum,1,cDC2,45,0.4210678645940089,0.5393543004017157
Tissue,tissue_level_1,jejunum,1,Tolerogenic cDC2,45,-0.4495117822566578,0.9959940220591443
Tissue,tissue_level_1,jejunum,1,pDC,45,-0.8094920258660464,-0.2753502284536211
Tissue,tissue_level_1,jejunum,1,Monocyte Derived Dendritic Cells (MO DC),45,0.014499492368666192,2.1234604347037447
Tissue,tissue_level_1,jejunum,1,Mast Cells,45,2.6253779659528043,2.017028103555019
Tissue,tissue_level_1,jejunum,1,Neutrophils,45,-0.8094920258660464,0.21682391680964647
Tissue,tissue_level_1,jejunum,1,Eosinophils,45,-0.8094920258660464,0.2430546936060346
Tissue,tissue_level_1,ileum,2,Epithelial,252,-1.1375293815093717,-1.6879726154663601
Tissue,tissue_level_1,ileum,2,Enterocyte Progenitors,252,2.1228973877050787,1.0721799753581225
Tissue,tissue_level_1,ileum,2,Lower Villus Enterocytes,252,2.0632541569802116,0.7310642635930583
Tissue,tissue_level_1,ileum,2,Mid Villus Enterocytes,252,2.5411642596481507,0.9963345748284156
Tissue,tissue_level_1,ileum,2,Villus Tip Enterocytes,252,2.640326712294957,1.5233112665464277
Tissue,tissue_level_1,ileum,2,BEST4 Enterocytes,252,0.6851846511367657,0.6424629568154993
Tissue,tissue_level_1,ileum,2,Colonocyte Progenitors,252,-1.0938905186831303,-0.9185138575987505
Tissue,tissue_level_1,ileum,2,Lower Crypt Colonocytes,252,-0.9285242712385555,-0.8517785009810036
Tissue,tissue_level_1,ileum,2,Mid Crypt Colonocytes,252,-1.0905802021958633,-0.9427808549835272
Tissue,tissue_level_1,ileum,2,Crypt Top Colonocytes,252,-1.0990580335206293,-0.9148344343141077
Tissue,tissue_level_1,ileum,2,BEST4 Colonocytes,252,-1.0190547560244738,-0.9534239033685237
Tissue,tissue_level_1,ileum,2,Microfold Cells (M Cells),252,-0.917998027607867,-1.1292077344579359
Tissue,tissue_level_1,ileum,2,Enteroendocrine Cells (EEC),252,-0.9001568129179567,-0.7145463640537044
Tissue,tissue_level_1,ileum,2,EEC Progenitors,252,-0.4641943187248493,0.09576953848043962
Tissue,tissue_level_1,ileum,2,EEC S,252,-0.9254638939967649,-1.0416828742953426
Tissue,tissue_level_1,ileum,2,EEC Enterochromaffin (EC),252,-0.12186747063719496,0.8905898020103719
Tissue,tissue_level_1,ileum,2,EEC L,252,-0.6154428020934657,-0.4854980799566239
Tissue,tissue_level_1,ileum,2,EEC N,252,-0.35360942589776645,1.5061921925321498
