hgca_celltype_v1,n_cells,n_datasets,n_samples,n_donors,n_tissues,n_author_labels,author_v0_exact_fraction,author_level1_match_fraction,author_level2_match_fraction,author_level3_match_fraction,author_level4_match_fraction,author_level5_match_fraction,atlas_increased_resolution_fraction,atlas_same_resolution_fraction,atlas_reduced_resolution_fraction,atlas_changed_branch_fraction,author_taxonomy_mapped_fraction,cell_fraction,rare_lt_0_1pct,one_dataset_only,Disease/case,Health/control,Other/unknown,hgca_celltype_level1,taxonomy_order,lodo_f1,lodo_f1_support,lodo_f1_std,lodo_f1_n_folds,lodo_run
CD8 IEL,144,10,28,23,4,18,0.0,1.0,0.9861111111111112,0.9513888888888888,,,0.9513888888888888,0.0,0.0,0.04861111111111111,1.0,0.04521193092621664,False,False,1,1,1,Lymphoid,122,,,,,
CD8 Naive,9,5,6,6,2,5,0.0,1.0,1.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.00282574568288854,False,False,1,1,1,Lymphoid,123,,,,,
Gamma Delta T Cells,16,4,5,5,2,6,0.0,1.0,1.0,0.9375,,,0.9375,0.0,0.0,0.0625,1.0,0.005023547880690738,False,False,1,1,0,Lymphoid,127,,,,,
MAIT Cells,12,4,7,7,2,3,0.0,1.0,1.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0037676609105180532,False,False,1,1,0,Lymphoid,128,,,,,
NKT Cells,69,8,20,17,3,11,0.0,1.0,0.057971014492753624,0.0,,,0.0,0.0,0.0,1.0,1.0,0.021664050235478807,False,False,1,1,0,Lymphoid,129,,,,,
NK Cells,34,8,15,15,3,9,0.029411764705882353,1.0,0.9705882352941176,0.9411764705882353,,,0.0,0.9411764705882353,0.0,0.058823529411764705,1.0,0.010675039246467817,False,False,1,1,1,Lymphoid,132,,,,,
ILC3,33,8,10,10,3,8,0.696969696969697,1.0,0.9696969696969697,0.9696969696969697,,,0.0,0.9696969696969697,0.0,0.030303030303030304,1.0,0.010361067503924647,False,False,1,1,1,Lymphoid,135,,,,,
Classical Monocytes,5,4,4,4,3,3,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0015698587127158557,False,False,1,1,1,Myeloid,139,,,,,
Nonclassical Monocytes,3,1,1,1,1,1,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0009419152276295133,True,True,0,1,0,Myeloid,140,,,,,
Cycling Macrophages,6,4,6,6,3,4,0.0,1.0,0.6666666666666666,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0018838304552590266,False,False,1,1,0,Myeloid,142,,,,,
Homeostatic Macrophages,5,4,4,4,2,3,0.0,1.0,0.8,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0015698587127158557,False,False,1,1,0,Myeloid,145,,,,,
M0 Macrophages,23,4,6,6,2,7,0.0,1.0,0.8260869565217391,0.0,,,0.0,0.0,0.0,1.0,1.0,0.007221350078492936,False,False,1,1,1,Myeloid,146,,,,,
Perivascular Resident Macrophages,4,2,3,2,2,2,0.0,1.0,0.5,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0012558869701726845,False,False,0,1,0,Myeloid,147,,,,,
Follicle Associated Resident Macrophages,12,4,8,8,2,5,0.0,1.0,1.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0037676609105180532,False,False,1,1,1,Myeloid,148,,,,,
migDC,1,1,1,1,1,1,0.0,1.0,1.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0003139717425431711,True,True,0,0,1,Myeloid,151,,,,,
cDC1,4,4,4,4,3,4,0.0,1.0,1.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0012558869701726845,False,False,0,1,0,Myeloid,152,,,,,
cDC2,12,6,7,7,2,5,0.9166666666666666,1.0,0.9166666666666666,0.9166666666666666,,,0.0,0.9166666666666666,0.0,0.08333333333333333,1.0,0.0037676609105180532,False,False,1,1,1,Myeloid,153,,,,,
Tolerogenic cDC2,1,1,1,1,1,1,0.0,1.0,1.0,1.0,,,1.0,0.0,0.0,0.0,1.0,0.0003139717425431711,True,True,0,0,1,Myeloid,154,,,,,
pDC,1,1,1,1,1,1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0003139717425431711,True,True,0,0,1,Myeloid,155,,,,,
Monocyte Derived Dendritic Cells (MO DC),6,3,6,6,2,4,0.0,1.0,0.16666666666666666,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0018838304552590266,False,False,0,1,0,Myeloid,156,,,,,
Mast Cells,14,3,4,4,3,3,1.0,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,1.0,0.004395604395604396,False,False,1,1,1,Myeloid,158,,,,,
Neutrophils,6,1,3,3,1,2,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0018838304552590266,False,True,0,1,0,Myeloid,159,,,,,
Eosinophils,6,3,4,4,2,3,0.0,1.0,0.6666666666666666,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0018838304552590266,False,False,1,1,0,Myeloid,161,,,,,
