context,n_samples,n_pos,detection_rate,celltype,short_name,strata,radial_layer,segment
full_thickness,8,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×depth,,ileum
not_full_thickness,63,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×depth,,ileum
full_thickness,1,False,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×depth,,jejunum
not_full_thickness,8,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×depth,,jejunum
,15,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×radial_layer,EPI,colon
,9,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×radial_layer,EPI_LP,colon
,8,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×radial_layer,EPI_LP_MUSC,colon
,5,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×radial_layer,LP,colon
,5,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×radial_layer,WM,colon
,2,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×radial_layer,EPI,duodenum
,2,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×radial_layer,EPI_LP,duodenum
,2,False,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×radial_layer,EPI_LP_MUSC,duodenum
,9,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×radial_layer,EPI,ileum
,25,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×radial_layer,EPI_LP,ileum
,8,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×radial_layer,EPI_LP_MUSC,ileum
,22,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×radial_layer,LP,ileum
,7,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×radial_layer,WM,ileum
,2,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×radial_layer,EPI,jejunum
,1,False,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×radial_layer,EPI_LP_MUSC,jejunum
,6,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×radial_layer,LP,jejunum
full_thickness,19,1,0.05263157894736842,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),depth,,
not_full_thickness,109,13,0.11926605504587157,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),depth,,
,28,2,0.07142857142857142,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),radial_layer,EPI,
,36,6,0.16666666666666666,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),radial_layer,EPI_LP,
,19,1,0.05263157894736842,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),radial_layer,EPI_LP_MUSC,
,33,5,0.15151515151515152,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),radial_layer,LP,
,12,0,0.0,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),radial_layer,WM,
,42,7,0.16666666666666666,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment,,colon
,6,False,0.0,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment,,duodenum
,71,7,0.09859154929577464,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment,,ileum
,9,0,0.0,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment,,jejunum
full_thickness,8,1,0.125,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×depth,,colon
not_full_thickness,34,6,0.17647058823529413,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×depth,,colon
full_thickness,2,False,0.0,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×depth,,duodenum
not_full_thickness,4,0,0.0,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×depth,,duodenum
full_thickness,8,0,0.0,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×depth,,ileum
not_full_thickness,63,7,0.1111111111111111,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×depth,,ileum
full_thickness,1,False,0.0,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×depth,,jejunum
not_full_thickness,8,0,0.0,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×depth,,jejunum
,15,1,0.06666666666666667,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×radial_layer,EPI,colon
,9,3,0.3333333333333333,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×radial_layer,EPI_LP,colon
,8,1,0.125,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×radial_layer,EPI_LP_MUSC,colon
,5,2,0.4,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×radial_layer,LP,colon
,5,0,0.0,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×radial_layer,WM,colon
,2,0,0.0,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×radial_layer,EPI,duodenum
,2,0,0.0,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×radial_layer,EPI_LP,duodenum
,2,False,0.0,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×radial_layer,EPI_LP_MUSC,duodenum
,9,1,0.1111111111111111,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×radial_layer,EPI,ileum
,25,3,0.12,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×radial_layer,EPI_LP,ileum
,8,0,0.0,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×radial_layer,EPI_LP_MUSC,ileum
,22,3,0.13636363636363635,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×radial_layer,LP,ileum
,7,0,0.0,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×radial_layer,WM,ileum
,2,0,0.0,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×radial_layer,EPI,jejunum
,1,False,0.0,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×radial_layer,EPI_LP_MUSC,jejunum
,6,0,0.0,GC B Dark Zone (GC B DZ),GC B Dark Zone (GC B DZ),segment×radial_layer,LP,jejunum
full_thickness,19,1,0.05263157894736842,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),depth,,
not_full_thickness,109,13,0.11926605504587157,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),depth,,
,28,2,0.07142857142857142,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),radial_layer,EPI,
,36,8,0.2222222222222222,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),radial_layer,EPI_LP,
,19,1,0.05263157894736842,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),radial_layer,EPI_LP_MUSC,
,33,3,0.09090909090909091,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),radial_layer,LP,
,12,0,0.0,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),radial_layer,WM,
,42,6,0.14285714285714285,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment,,colon
,6,False,0.0,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment,,duodenum
,71,8,0.11267605633802817,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment,,ileum
,9,0,0.0,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment,,jejunum
full_thickness,8,1,0.125,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×depth,,colon
not_full_thickness,34,5,0.14705882352941177,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×depth,,colon
full_thickness,2,False,0.0,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×depth,,duodenum
not_full_thickness,4,0,0.0,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×depth,,duodenum
full_thickness,8,0,0.0,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×depth,,ileum
not_full_thickness,63,8,0.12698412698412698,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×depth,,ileum
