celltype,short_name,role,dataset_id,inference,n_A,n_B,delta_CLR,ci_lo,ci_hi,p_value,n_datasets_both_arms,n_datasets_total,is_pooled,arm_mean_CLR,arm_present
Homeostatic Macrophages,Homeostatic mac.,negative_control,Luoma2020,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.0686632680417576,rest
Homeostatic Macrophages,Homeostatic mac.,negative_control,Martin2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,0.8926224845428383,rest
Homeostatic Macrophages,Homeostatic mac.,negative_control,Wells2025_2,one-arm (no within-study contrast),6,0,,,,,0,1,False,0.10761442965503902,rest
Homeostatic Macrophages,Homeostatic mac.,negative_control,Zheng2024,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.3576970243008848,rest
Paneth Cells,Paneth cells,negative_control,ALL (pooled),mixed,70,17,-0.22746175844066202,-0.36717678324141284,-0.10139192592892166,0.007858905395042054,1,15,True,,
Paneth Cells,Paneth cells,negative_control,ArendsHelmsley,one-arm (no within-study contrast),0,3,,,,,0,1,False,-0.09063482118500803,full
Paneth Cells,Paneth cells,negative_control,BasuHelmsley,one-arm (no within-study contrast),5,0,,,,,0,1,False,0.15019682547833096,rest
Paneth Cells,Paneth cells,negative_control,Burclaff2022,one-arm (no within-study contrast),4,0,,,,,0,1,False,-0.32818871314586906,rest
Paneth Cells,Paneth cells,negative_control,Elmentaite2020,within-study,1,13,-1.331677203926705,,,,1,1,False,,
Paneth Cells,Paneth cells,negative_control,HamiltonHelmsley,one-arm (no within-study contrast),12,0,,,,,0,1,False,-0.15357733462833564,rest
Paneth Cells,Paneth cells,negative_control,Huang2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.0392361531667169,rest
Paneth Cells,Paneth cells,negative_control,James2020_5p,one-arm (no within-study contrast),0,1,,,,,0,1,False,-0.0392361531667169,full
Paneth Cells,Paneth cells,negative_control,Kong2023_v2,one-arm (no within-study contrast),4,0,,,,,0,1,False,0.5326373635788713,rest
Paneth Cells,Paneth cells,negative_control,Kong2023_v3,one-arm (no within-study contrast),20,0,,,,,0,1,False,0.0040465830547499245,rest
Paneth Cells,Paneth cells,negative_control,Krzak2023,one-arm (no within-study contrast),12,0,,,,,0,1,False,-0.007991252361758478,rest
Paneth Cells,Paneth cells,negative_control,Lee2020,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.09895113473497315,rest
Paneth Cells,Paneth cells,negative_control,Luoma2020,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.0392361531667169,rest
Paneth Cells,Paneth cells,negative_control,Martin2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.0784723063334373,rest
Paneth Cells,Paneth cells,negative_control,Wang2020,one-arm (no within-study contrast),4,0,,,,,0,1,False,-0.0581670775970757,rest
Paneth Cells,Paneth cells,negative_control,Yu2021,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.0392361531667169,rest
