sample_id,donor_id,dataset_id,segment,radial_layer,context,collection,sample_total_cells,detect_GC,n_support,detect_fDC,detect_Tfh,detect_Tfr,niche_primary,niche_strict,niche_loose
SR1803_20221111_004_N_E,SR1803_20221111_004_N_E,ArendsHelmsley,ileum,EPI_LP_MUSC,full_thickness,surgical resection,3.0,False,0,False,False,False,False,False,False
SR1803_20221207_006_N_E,SR1803_20221207_006_N_E,ArendsHelmsley,ileum,EPI_LP_MUSC,full_thickness,surgical resection,14.0,False,0,False,False,False,False,False,False
SR1803_20230131_007_N_E,SR1803_20230131_007_N_E,ArendsHelmsley,ileum,EPI_LP_MUSC,full_thickness,surgical resection,5.0,False,0,False,False,False,False,False,False
scrEXT017,SC024,Lee2020,colon,EPI_LP,not_full_thickness,surgical resection,65.0,True,1,False,True,False,True,False,True
scrEXT032,SC031,Lee2020,colon,EPI_LP,not_full_thickness,surgical resection,8.0,False,0,False,False,False,False,False,False
4861STDY7208414,A7_298C,James2020_3p,colon,EPI_LP_MUSC,full_thickness,surgical resection,60.0,False,0,False,False,False,False,False,False
4918STDY7333456,T036,Elmentaite2020,ileum,EPI_LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
640C-JEJLP-127,640C,Wells2025,jejunum,LP,not_full_thickness,surgical resection,60.0,False,0,False,False,False,False,False,False
647C-JEJLP-144,647C,Wells2025_2,jejunum,LP,not_full_thickness,surgical resection,60.0,False,0,False,False,False,False,False,False
768B-JEJEPI-277,768B,Wells2025_2,jejunum,EPI,not_full_thickness,surgical resection,60.0,False,0,False,False,False,False,False,False
CT3_CD45,CT3,Luoma2020,colon,EPI_LP,not_full_thickness,biopsy,60.0,True,0,False,False,False,False,False,True
D512-JEJEPI-1,D512,Wells2025_2,jejunum,EPI,not_full_thickness,surgical resection,61.0,False,0,False,False,False,False,False,False
D533-JEJLP-1,D533,Wells2025_2,jejunum,LP,not_full_thickness,surgical resection,60.0,False,0,False,False,False,False,False,False
GSM3584930,FA602_FA604,Huang2019,colon,EPI_LP,not_full_thickness,biopsy,60.0,True,0,False,False,False,False,False,True
GSM4766839,7420_Jaeger2021,Jaeger2021,ileum,LP,not_full_thickness,surgical resection,2.0,False,0,False,False,False,False,False,False
GSM4766840,1425_Jaeger2021,Jaeger2021,ileum,LP,not_full_thickness,surgical resection,1.0,False,0,False,False,False,False,False,False
HA11-TI,HA11,BasuHelmsley,ileum,WM,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
Helm_CH_7109_RC_Str,7109,HamiltonHelmsley,colon,LP,not_full_thickness,biopsy,60.0,True,0,False,False,False,False,False,True
Helm_I3_5246_RC_Str,5246,HamiltonHelmsley,colon,LP,not_full_thickness,biopsy,60.0,False,0,False,False,False,False,False,False
Pan_T8010320,A37_428C,Dominguez2022,ileum,EPI_LP_MUSC,full_thickness,surgical resection,60.0,False,0,False,False,False,False,False,False
WTDAtest7844024,A33_414C,Elmentaite2020,colon,EPI_LP_MUSC,full_thickness,surgical resection,3.0,False,0,False,False,False,False,False,False
p023_T0D_ILE_LPS_3p,p023,Zheng2024,ileum,LP,not_full_thickness,biopsy,62.0,True,2,False,True,False,True,False,True
p050_T0D_ILE_LPS_3p,p050,Zheng2024,ileum,LP,not_full_thickness,biopsy,61.0,True,0,False,False,False,False,False,True
778C-JEJLP-296,778C,Wells2025_2,jejunum,LP,not_full_thickness,surgical resection,1.0,False,0,False,False,False,False,False,False
D523-JEJLP-1,D523,Wells2025_2,jejunum,LP,not_full_thickness,surgical resection,1.0,False,0,False,False,False,False,False,False
D564-JEJLP-1,D564,Wells2025_2,jejunum,LP,not_full_thickness,surgical resection,1.0,False,0,False,False,False,False,False,False
GSM4850586,donor1_He2020,He2020,colon,EPI_LP_MUSC,full_thickness,surgical resection,1.0,False,0,False,False,False,False,False,False
H10,H10,Krzak2023,ileum,EPI_LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
H101694_L,101694,Kong2023_v3,ileum,LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
H152638_L,152638,Kong2023_v3,ileum,LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
H17,H17,Krzak2023,ileum,EPI_LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
H35,H35,Krzak2023,ileum,EPI_LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
HA01-AC,HA01,BasuHelmsley,colon,WM,not_full_thickness,biopsy,2.0,False,0,False,False,False,False,False,False
HA01-TI,HA01,BasuHelmsley,ileum,WM,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
HA02-TI,HA02,BasuHelmsley,ileum,WM,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
N119540_E2,119540,Kong2023_v3,ileum,EPI,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
N148519_L2,148519,Kong2023_v3,ileum,LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
4918STDY7714149,T036,Elmentaite2020,ileum,EPI_LP,not_full_thickness,biopsy,2.0,False,0,False,False,False,False,False,False
GSM3140593,S7 (S90),Kinchen2018,colon,EPI_LP,not_full_thickness,biopsy,4.0,False,0,False,False,False,False,False,False
GSM3140594,S8 (S66),Kinchen2018,colon,EPI_LP,not_full_thickness,biopsy,2.0,False,0,False,False,False,False,False,False
GSM3972023,patient13_Martin2019,Martin2019,ileum,EPI_LP,not_full_thickness,surgical resection,1.0,False,0,False,False,False,False,False,False
H158108_N2,158108,Kong2023_v2,ileum,EPI_LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
H158108_N3,158108,Kong2023_v2,ileum,EPI_LP,not_full_thickness,biopsy,2.0,False,0,False,False,False,False,False,False
HA41-AC,HA41,BasuHelmsley,colon,WM,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
HA49-AC,HA49,BasuHelmsley,colon,WM,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
HA50-AC,HA50,BasuHelmsley,colon,WM,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
N148519_L1,148519,Kong2023_v3,ileum,LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
N195045_L2,195045,Kong2023_v3,ileum,LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
