context,n_samples,n_pos,capture_rate,rule,strata,radial_layer,segment,dataset_id,collection
,4,0,0.0,niche_strict,dataset,,,Burclaff2022,
,1,0,0.0,niche_strict,dataset,,,Dominguez2022,
,15,0,0.0,niche_strict,dataset,,,Elmentaite2020,
,14,0,0.0,niche_strict,dataset,,,HamiltonHelmsley,
,1,0,0.0,niche_strict,dataset,,,He2020,
,2,0,0.0,niche_strict,dataset,,,Huang2019,
,2,0,0.0,niche_strict,dataset,,,Jaeger2021,
,1,0,0.0,niche_strict,dataset,,,James2020_3p,
,1,0,0.0,niche_strict,dataset,,,James2020_5p,
,2,0,0.0,niche_strict,dataset,,,Kinchen2018,
,6,0,0.0,niche_strict,dataset,,,Kong2023_v2,
,26,0,0.0,niche_strict,dataset,,,Kong2023_v3,
,15,0,0.0,niche_strict,dataset,,,Krzak2023,
,2,0,0.0,niche_strict,dataset,,,Lee2020,
,3,0,0.0,niche_strict,dataset,,,Luoma2020,
,2,0,0.0,niche_strict,dataset,,,Martin2019,
,4,0,0.0,niche_strict,dataset,,,Wang2020,
,1,0,0.0,niche_strict,dataset,,,Wells2025,
,7,0,0.0,niche_strict,dataset,,,Wells2025_2,
,2,0,0.0,niche_strict,dataset,,,Yu2021,
,2,0,0.0,niche_strict,dataset,,,Zheng2024,
full_thickness,8,0,0.0,niche_strict,segment×depth,,colon,,
not_full_thickness,34,0,0.0,niche_strict,segment×depth,,colon,,
full_thickness,2,0,0.0,niche_strict,segment×depth,,duodenum,,
not_full_thickness,4,0,0.0,niche_strict,segment×depth,,duodenum,,
full_thickness,8,0,0.0,niche_strict,segment×depth,,ileum,,
not_full_thickness,63,0,0.0,niche_strict,segment×depth,,ileum,,
full_thickness,1,0,0.0,niche_strict,segment×depth,,jejunum,,
not_full_thickness,8,0,0.0,niche_strict,segment×depth,,jejunum,,
,15,0,0.0,niche_strict,segment×radial_layer,EPI,colon,,
,9,0,0.0,niche_strict,segment×radial_layer,EPI_LP,colon,,
,8,0,0.0,niche_strict,segment×radial_layer,EPI_LP_MUSC,colon,,
,5,0,0.0,niche_strict,segment×radial_layer,LP,colon,,
,5,0,0.0,niche_strict,segment×radial_layer,WM,colon,,
,2,0,0.0,niche_strict,segment×radial_layer,EPI,duodenum,,
,2,0,0.0,niche_strict,segment×radial_layer,EPI_LP,duodenum,,
,2,0,0.0,niche_strict,segment×radial_layer,EPI_LP_MUSC,duodenum,,
,9,0,0.0,niche_strict,segment×radial_layer,EPI,ileum,,
,25,0,0.0,niche_strict,segment×radial_layer,EPI_LP,ileum,,
,8,0,0.0,niche_strict,segment×radial_layer,EPI_LP_MUSC,ileum,,
,22,0,0.0,niche_strict,segment×radial_layer,LP,ileum,,
,7,0,0.0,niche_strict,segment×radial_layer,WM,ileum,,
,2,0,0.0,niche_strict,segment×radial_layer,EPI,jejunum,,
,1,0,0.0,niche_strict,segment×radial_layer,EPI_LP_MUSC,jejunum,,
,6,0,0.0,niche_strict,segment×radial_layer,LP,jejunum,,
not_full_thickness,87,0,0.0,niche_strict,collection×depth,,,,biopsy
full_thickness,19,0,0.0,niche_strict,collection×depth,,,,surgical resection
not_full_thickness,22,0,0.0,niche_strict,collection×depth,,,,surgical resection
,18,0,0.0,niche_strict,collection×radial_layer,EPI,,,biopsy
,32,0,0.0,niche_strict,collection×radial_layer,EPI_LP,,,biopsy
,25,0,0.0,niche_strict,collection×radial_layer,LP,,,biopsy
,12,0,0.0,niche_strict,collection×radial_layer,WM,,,biopsy
,10,0,0.0,niche_strict,collection×radial_layer,EPI,,,surgical resection
,4,0,0.0,niche_strict,collection×radial_layer,EPI_LP,,,surgical resection
,19,0,0.0,niche_strict,collection×radial_layer,EPI_LP_MUSC,,,surgical resection
,8,0,0.0,niche_strict,collection×radial_layer,LP,,,surgical resection
,3,0,0.0,niche_strict,dataset×radial_layer,EPI_LP_MUSC,,ArendsHelmsley,
,12,0,0.0,niche_strict,dataset×radial_layer,WM,,BasuHelmsley,
,4,0,0.0,niche_strict,dataset×radial_layer,EPI,,Burclaff2022,
,1,0,0.0,niche_strict,dataset×radial_layer,EPI_LP_MUSC,,Dominguez2022,
,3,0,0.0,niche_strict,dataset×radial_layer,EPI_LP,,Elmentaite2020,
,12,0,0.0,niche_strict,dataset×radial_layer,EPI_LP_MUSC,,Elmentaite2020,
,9,0,0.0,niche_strict,dataset×radial_layer,EPI,,HamiltonHelmsley,
,5,0,0.0,niche_strict,dataset×radial_layer,LP,,HamiltonHelmsley,
,1,0,0.0,niche_strict,dataset×radial_layer,EPI_LP_MUSC,,He2020,
,2,0,0.0,niche_strict,dataset×radial_layer,EPI_LP,,Huang2019,
,2,0,0.0,niche_strict,dataset×radial_layer,LP,,Jaeger2021,
,1,0,0.0,niche_strict,dataset×radial_layer,EPI_LP_MUSC,,James2020_3p,
,1,0,0.0,niche_strict,dataset×radial_layer,EPI_LP_MUSC,,James2020_5p,
,2,0,0.0,niche_strict,dataset×radial_layer,EPI_LP,,Kinchen2018,
,5,0,0.0,niche_strict,dataset×radial_layer,EPI_LP,,Kong2023_v2,
,1,0,0.0,niche_strict,dataset×radial_layer,LP,,Kong2023_v2,
,9,0,0.0,niche_strict,dataset×radial_layer,EPI,,Kong2023_v3,
,17,0,0.0,niche_strict,dataset×radial_layer,LP,,Kong2023_v3,
,15,0,0.0,niche_strict,dataset×radial_layer,EPI_LP,,Krzak2023,
,2,0,0.0,niche_strict,dataset×radial_layer,EPI_LP,,Lee2020,
,3,0,0.0,niche_strict,dataset×radial_layer,EPI_LP,,Luoma2020,
,2,0,0.0,niche_strict,dataset×radial_layer,EPI_LP,,Martin2019,
,4,0,0.0,niche_strict,dataset×radial_layer,EPI,,Wang2020,
,1,0,0.0,niche_strict,dataset×radial_layer,LP,,Wells2025,
,2,0,0.0,niche_strict,dataset×radial_layer,EPI,,Wells2025_2,
,5,0,0.0,niche_strict,dataset×radial_layer,LP,,Wells2025_2,
,2,0,0.0,niche_strict,dataset×radial_layer,EPI_LP,,Yu2021,
,2,0,0.0,niche_strict,dataset×radial_layer,LP,,Zheng2024,
full_thickness,19,1,0.05263157894736842,niche_loose,depth,,,,
not_full_thickness,109,15,0.13761467889908258,niche_loose,depth,,,,
