hgca_celltype_level1,hgca_celltype_level2,hgca_celltype_level3,hgca_celltype_level4,hgca_celltype_level5,hgca_celltype_v1,hgca_celltype_v0,Markers,Negative markers (careful if QC differences change presence),Comments,"please add 👍 if you agree with the cell type label and marker genes, otherwise add comment","""True"" if disagreement, here we track if we had any disagreement on the labels, because it may help point us to interesting areas for analysis",Other names for the same thing,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,cell_ontology_fillins
Stromal,Pericytes,,,,Pericytes,Pericytes,"RGS5, PDGFRB,NOTCH3, PECAM1,  MCAM, CSPG4?",,"Group discussion: PECAM1 is not a marker for all Pericytes (But angiogenic and immature?), (VGEFA as marker for subtypes?)",,,,CL:0000669,pericyte,UBERON:0002384,connective tissue,,CL:0000669
Stromal,Pericytes,Angiogenic Pericytes,,,Angiogenic Pericytes,Pericytes Angiogenic,HIGD1B,,,,,,CL:4047012,angiogenic pericyte,UBERON:0002384,connective tissue,Add new term: Angiogenic pericyte https://github.com/obophenotype/cell-ontology/issues/2517,CL:4047012
Stromal,Pericytes,Contractile Pericytes,,,Contractile Pericytes,Pericytes Contractile,"VG: RERGL, NTRK2",,VG: shared myofibroblast and pericyte signature,,,,,,UBERON:0002384,connective tissue,Add new term: Contractile pericyte,CL:0000669
Stromal,Pericytes,Immature Pericytes,,,Immature Pericytes,Pericytes Immature,"NDUFA4L2, PDGFRB?, CSPG4?",,Group discussion: Check expression of markers in data sets,,,,CL:4047007,immature pericyte,UBERON:0002384,connective tissue,"Add new term: Immature pericyte
https://github.com/obophenotype/cell-ontology/issues/2503",CL:4047007
Stromal,Pericytes,Secretory Pericyte,,,Secretory Pericytes,Pericytes Secretory,"MUSTN1, PLN",,RZ-need a better name. ,,,,CL:4047032,secretory pericyte,UBERON:0002384,connective tissue,Add new term: Secretory pericyte https://github.com/obophenotype/cell-ontology/issues/2739,CL:4047032
Stromal,Glia,,,,Glia,Glia,"NRXN1, S100B, SOX10,CDH19, CRYAB, PLP1, SPP1, FXYD1",,"AA - would suggest moving together with neurons. There's also inflammation-associated glial clusters that can come up, add those here or not?",,,,CL:0000125,glial cell,TBC,,,CL:0000125
Stromal,Glia,Differentiating Glia,,,Differentiating Glia,Glia Differentiating,,,Group discussion: Check in single nucleus data,,,,CL:0000125,glial cell,TBC,,Add new term: differentiating glia ,CL:0000125
Stromal,Glia,Progenitor Glia,,,Progenitor Glia,Glia Progenitor,,,Group discussion: Check in single nucleus data,,,,CL:0000030,glioblast,TBC,,Add new term: progenitor glia ,CL:0000125
Stromal,Glia,Intra Ganglionic Glia,,,Intra Ganglionic Glia,Glia Intra-Ganglionic,"APOE, FRZB, RLBP1, CRYM",,AA - added,,,,CL:4047047,type I enteric glial cell ,TBC,,Add new term: intra-ganglionic glia https://github.com/obophenotype/cell-ontology/issues/2894,CL:0000125
Stromal,Glia,Intra Ganglionic Glia,Myenteric Plexus Glia,,Myenteric Plexus Glia,Glia Myenteric Plexus / Type I,"TF, BCAN, CACLB",,AA - added further split,,,,CL:4047042,type 1 myenteric plexus glia,TBC,,Add new term: myenteric plexus glia type 1 https://github.com/obophenotype/cell-ontology/issues/2886,CL:0000125
Stromal,Glia,Intra Ganglionic Glia,Submucosal Plexus Glia,,Submucosal Plexus Glia,Glia Submucosal Plexus / Type I,"ENTPD2, SFRP5",,AA - added further split,,,,CL:4047043,type 1 submucosal,TBC,,Add new term: submucosal plexus glia type 1  https://github.com/obophenotype/cell-ontology/issues/2887,CL:0000125
Stromal,Glia,Extra Ganglionic Glia,,,Extra Ganglionic Glia,Glia Extra-Ganglionic,GFRA3,,"AA - added, this will be most glia from biopsies",,,,,extraganglionic glia,TBC,,Add new term: extra-ganglionic glia ,CL:0000125
